Año,Identificador de la Orden,Rama de la Entidad,Sector de la Entidad,Entidad,Solicitante,Fecha,Proveedor,Estado,Solicitud,Items,Total,Agregacion,Ciudad,Entidad Obigada,EsPostconflicto
2016,10002,Ejecutiva,Defensa Nacional,SECCIONAL SANIDAD HUILA,Mayerline Olave Cubides,08/18/2016 12:00:00 AM,CONALCREDITOS  CONALCENTER BPO,Emitida,19481,6 Mes of 6 - Agente con puesto de trabajo-Agente general_Mes_Baja-Plata - 3 Und 6 Mes of 1221 - Minuto a Celular outbound - Claro-__-Plata - 1000 Minuto 6 Mes of 1222 - Minuto a Celular outbound - Movistar-__-Plata - 1000 Minuto 6 Mes of 1224 - Minuto a Celular outbound - Otros operadores-__-Plata - 500 Minuto 6 Mes of 1223 - Minuto a Celular outbound - Tigo-__-Plata - 500 Minuto 1 Mes of 1305 - Hora desarrollo (IVR Transaccional u otros)-__-Plata - 20 Hora desarrollo 1 Unidad of IVA 1 Unidad of Gravámenes adicionales 79 Día of 6 - Agente con puesto de trabajo-Agente general_Mes_Baja-Plata - 3 Und   79 Día of 1221 - Minuto a Celular outbound - Claro-__-Plata - 1000 Minuto   79 Día of  1222 - Minuto a Celular outbound - Movistar-__-Plata - 1000 Minuto    79 Día of 1224 - Minuto a Celular outbound - Otros operadores-__-Plata - 730 Minuto  79 Día of 1223 - Minuto a Celular outbound - Tigo-__-Plata -726 Minuto   30 Día of 1305 - Hora desarrollo (IVR Transaccional u otros)-__-Plata - 20 Hora desarrollo,116075000.22,Centro de contacto,Neiva,Obligada,ND
2016,10005,Ejecutiva,Justicia y del Derecho,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE CARTAGENA,Eduardo Enrique Millan Amador,08/18/2016 12:00:00 AM,MAKRO SUPERMAYORISTA S.A.S,Emitida,19131,2 Unidad of DETERGENTE ARO LIMON X 10 Kg 1 Unidad of BLANQUEADOR ARO X 20 L,95869.00,Grandes Superficies,Cartagena,Obligada,ND
2016,10009,Ejecutiva,Agricultura y Desarrollo Rural,UNIDAD DE PLANIFICACION DE TIERRAS RURALES  ADECUACION DE TIERRAS Y USOS AGROPECUARIOS,Dennis William Bermudez Murillo,08/18/2016 12:00:00 AM,ESRI COLOMBIA SAS,Emitida,19491,1 Unidad of CCE88927 ArcGIS for Desktop Standard Concurrent Upgrade from ArcGIS for Desktop Basic Concurrent 3 Unidad of CCE88282 ArcGIS Spatial Analyst for Desktop Concurrent License 1 Unidad of IVA ArcGIS,37016713.00,ArcGIS,Bogotá,Obligada,ND
2016,10011,Ejecutiva,Transporte,UAE - AERONAUTICA CIVIL REGIONAL CUNDINAMARCA,Harol Rolando Wilches Machado,08/18/2016 12:00:00 AM,PANAMERICANA LIBRERÍA Y PAPELERÍA S.A.,Emitida,19478,6 Unidad of INACTIVE CARPETA TRAFICO DOCUM.CARTA C/VENTANILLA Cod: 8490676 500 Unidad of INACTIVE BANDAS DE CAUCHO CAJA X 25GR 22 Cod: 8490618 400 Unidad of INACTIVE BOLIGRAFO NEGRO KILOMETRICO 100 CRISTAL Cod: 8490637 600 Unidad of INACTIVE BORRADOR NATA SUELTO PZ-20 Cod: 8490750 40 Unidad of INACTIVE BORRADOR PARA TABLERO EN FELPA MADERA Cod: 8490753 50 Unidad of INACTIVE CINTA POLIPROPILENO 48X100 COLBON Cod: 8490751 60 Unidad of INACTIVE CINTA ENMASCARAR 24MM X40M BEIGE COLBON Cod: 8103353 10 Unidad of INACTIVE CINTA ENMASCARAR 12MM X 40MT COLBON Cod: 8490738 200 Unidad of INACTIVE CINTA POLIPROPILENO 12X40 COLBON Cod: 8490747 400 Unidad of INACTIVE CLIP COLORES PLASTIFICADO CAJA X 100 Cod: 8490774 60 Unidad of INACTIVE CLIP MARIPOSA METALICO X 12 WINGO 5512 G Cod: 8018417 2 Unidad of INACTIVE DISPENSADOR CINTA EMPAQUE 2  METALPASTIC Cod: 8490785 12 Unidad of INACTIVE MANECILLA METALICA 1  X12 NEGRA Cod: 8383455 12 Unidad of INACTIVE MANECILLA METALICA 3/4  X 12 NEGRO Cod: 8490804 15 Unidad of INACTIVE CORRECTOR BOLIGRAFO DE BOLSILLO 8 ML Cod: 8490776 400 Unidad of INACTIVE LAPIZ GRADUADO 2H Cod: 8000402 40 Unidad of INACTIVE MARCADOR SECO NEGRO ERGONOMICO SPEKTRA Cod: 8490695 30 Unidad of INACTIVE MARCADOR ROJO SECO ERGONOMICO SPEKTRA Cod: 8490690 30 Unidad of INACTIVE MARCADOR AZUL SECO ERGONOMICO SPEKTRA Cod: 8490767 175 Unidad of INACTIVE RESALTADOR AMARILLO SPEKTRA ERGONOMICO Cod: 8022486 175 Unidad of INACTIVE RESALTADOR VERDE SPEKTRA ERGONOMICO Cod: 8022487 175 Unidad of INACTIVE RESALTADOR NARANJA ERGONOMICO SPEKTRA Cod: 8490874 175 Unidad of INACTIVE RESALTADOR ROSADO ERGONOMICO SPEKTRA Cod: 8490875 50 Unidad of INACTIVE PLUMIGRAFO NEGRO MICROPUNTA/PLUS Cod: 8000082 200 Unidad of INACTIVE MINA 0.5 MM HB TUBO X 12 UND. Cod: 8490768 200 Unidad of INACTIVE MINA 0.7 MM HB TUBO X 12 UND. Cod: 8490775 150 Unidad of INACTIVE PEGANTE BARRA X 40GR STUDMARK Cod: 8490857 20 Unidad of INACTIVE PEGANTE INSTANTANEO 5GRM SUPER BONDER Cod: 8018370 5 Unidad of INACTIVE PELICULA STRETCH TRANSPARENTE 50 CM X 500 METROS Cod: 8473430 50 Unidad of INACTIVE PORTAMINAS 0.5MM SURTIDO Cod: 8490862 50 Unidad of INACTIVE PORTAMINAS 0.7MM SURTIDO Cod: 8490863 200 Unidad of INACTIVE REGLA PLANA ACRILICA 30CM RAPID Cod: 8123282 300 Unidad of INACTIVE NOTAS ADHESIVAS KORES 75X75MM 100 HOJAS AMARARILLO Cod: 8490780 150 Unidad of INACTIVE BLOCK CUADROS 1/2 CARTA BOND BLANCO X 80 HOJAS Cod: 8490628 92 Unidad of INACTIVE LIBRO ACTAS 200 FOLIOS ECON. OFICIO Cod: 8009983 1 000 Unidad of INACTIVE SOBRE MANILA OFICIO 25X35 ECOLOGICO SIN Cod: 8024207 153 Unidad of INACTIVE TAJALAPIZ PLASTICO SENCILLO PAQUETE X 3 UNDIADES Cod: 8410616 90 Unidad of INACTIVE BANDERITAS X5 COLORES 1.27X1.3CM X125HJS Cod: 8490621 2 Unidad of INACTIVE TONER LEXMARK E260A11L NEGRO E260DN/E360 Cod: 8490955 2 Unidad of INACTIVE TONER LEXMARK X463X11G NEGRO X463/X464 Cod: 8490961 3 Unidad of INACTIVE TONER HP 85A P1102 NEGRO LASERJET Cod: 8172190 1 Unidad of INACTIVE TABLERO ACRILICO 080X120 P/COLGAR M/MADERA Cod: 8014375 2 Unidad of INACTIVE TONER LEXMARK NEGRO 60F4H00 10000 PAG Cod: 8498066,11927277.00,Grandes Superficies,Bogotá,Obligada,ND
2016,10012,Ejecutiva,Comercio Industria y Turismo,INSTITUTO PARA LA ECONOMÍA SOCIAL,Maritza Carolina Charry Bernal,08/18/2016 12:00:00 AM,Compañía de Servicios y Administración S.A. Serdan S.A.,Emitida,19500,6 Mes of R11 - Operario de aseo Tiempo Completo - 63 6 Mes of R11 - Operario auxiliar capacitado para trabajo en alturas Tiempo Completo - 2 6 Mes of R11 - Operario de aseo y cafetería Tiempo Completo - 8 6 Unidad of R11 - Bienes de Aseo y Cafetería 1 Unidad of R11 - Recargo por Trabajo nocturno  extra  dominical y festivo 1 Unidad of R11 - Recargo por dotación especial 1 Unidad of R11 - AIU 1 Unidad of R11 - IVA 1 Unidad of R11 - Gravámenes adicionales,718386649.97,Aseo y Cafetería,Bogotá,No obligada,ND
2016,10013,Ejecutiva,Hacienda y Crédito Público,COLJUEGOS,Javier Alejandro Vargas Joya,08/19/2016 12:00:00 AM,Inversiones Giratell Giraldo S.C.A.,Emitida,19502,14 Unidad of kit Un par de zapatos Calzado De 1 a 100- H 1 Unidad of IVA 1 Unidad of Gravamen adicional,1218000.00,Dotaciones de Vestuario,Bogotá,No obligada,ND
2016,10014,Judicial,Justicia y del Derecho,FISCALIA GENERAL DE LA NACION - SECCIONAL IBAGUE,Norbey Arandia Castro,08/19/2016 12:00:00 AM,COLOMBIANA DE COMERCIO S.A Y/O ALKOSTO S.A,Emitida,17719,11 Unidad of ESCANER PRODUCTIVO CON ALIMENTADOR WORKFORCE DS-860,36949000.00,Grandes Superficies,Ibague,No obligada,ND
2016,10015,Ejecutiva,Hacienda y Crédito Público,COLJUEGOS,Javier Alejandro Vargas Joya,08/19/2016 12:00:00 AM,Fernando Guerrero Caro,Emitida,19503,14 Unidad of kit Un par de zapatos Calzado De 1 a 100- M 1 Unidad of IVA 1 Unidad of Gravamen adicional,1272615.00,Dotaciones de Vestuario,Bogotá,No obligada,ND
2016,10016,Ejecutiva,Hacienda y Crédito Público,COLJUEGOS,Javier Alejandro Vargas Joya,08/19/2016 12:00:00 AM,Inversiones Giratell Giraldo S.C.A.,Emitida,19504,14 Unidad of kit Dotación Clima Frio De 1 a 100- M 1 Unidad of IVA 1 Unidad of Gravamen adicional,2760800.00,Dotaciones de Vestuario,Bogotá,No obligada,ND
2016,10019,Ejecutiva,Justicia y del Derecho,ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE CARTAGENA,Eduardo Enrique Millan Amador,08/19/2016 12:00:00 AM,COLOMBIANA DE COMERCIO S.A Y/O ALKOSTO S.A,Emitida,19507,50 Bolsa of Doritos,490000.00,Grandes Superficies,Cartagena,Obligada,ND
